OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,SHAPE_Length,SHAPE_Area
6156,2020,CA,CDF,AEU,10509,Jan 31 2020 Broadcast,1,2020/01/31 00:00:00+00,2020/01/31 00:00:00+00,15,15.047042,,,,1752.94982841509,100262.785916909
6157,2020,CA,PVT,AEU,10572,2020 Fuels Reduction,1,2020/02/13 00:00:00+00,2020/02/13 00:00:00+00,22.3,36.7397,,,,3448.15581026757,245805.558847654
6158,2020,CA,CDF,AEU,10630,Feb 2020 Broadcast,1,2020/02/13 00:00:00+00,2020/02/18 00:00:00+00,22.4,38.839832,,,,5011.39959327933,257040.117935273
6159,2020,CA,CDF,AEU,10639,Feb 2020 Broadcast,1,2020/02/11 00:00:00+00,2020/02/20 00:00:00+00,75.5,75.4981,,,,5028.25497856874,503008.879053874
6160,2020,CA,CDF,AEU,10780,Mar 3 2020 Broadcast,1,2020/03/03 00:00:00+00,2020/03/03 00:00:00+00,61.8,61.771519,,,,3552.70672131123,411511.354712906
6161,2020,CA,CDF,AEU,10782,March 5 2020 Broadcast,1,2020/03/05 00:00:00+00,2020/03/05 00:00:00+00,16.5,16.476643,,,,1857.13993616325,109035.508614192
6162,2020,CA,CDF,AEU,11060,2020 Fuels Reduction,1,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,4.1,4.1415462,,,,1040.19909714383,27314.3890145592
6163,2020,CA,CDF,AEU,11110,"June 24, 2020 Broadcast",1,2020/06/24 00:00:00+00,2020/06/24 00:00:00+00,65.8,65.799904,,,,4014.34064894896,435435.310784681
6164,2020,CA,CDF,AEU,11111,"June 16, 2020 Broadcast",1,2020/06/16 00:00:00+00,2020/06/16 00:00:00+00,30.5,30.543804,,,,3640.14125666031,204168.908865814
6165,2020,CA,CDF,AEU,11112,"June 10-12, 2020 Broadcast",1,2020/06/10 00:00:00+00,2020/06/12 00:00:00+00,240.2,240.16142,,,,10728.4321687016,1586669.74059874
6166,2020,CA,CDF,AEU,11113,"May 11, 2020 Broadcast",1,2020/05/11 00:00:00+00,2020/05/11 00:00:00+00,3.2,3.1807742,,,,684.235334472214,21029.654364573
6167,2020,CA,CDF,AEU,11198,July 2 2020 Broadcast,1,2020/07/02 00:00:00+00,2020/07/02 00:00:00+00,53.2,53.2141,,,,6413.66547948744,355632.264854975
6168,2020,CA,CDF,AEU,11200,July 15 2020 Broadcast,1,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,32.6,32.562744,,,,2108.70601447988,215086.287564833
6169,2020,CA,CDF,AEU,11231,"August 14, 2020 Broadcast",1,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,22.6,22.640562,,,,2088.4641939367,149274.825253655
6170,2020,CA,CDF,AEU,11373,"Nov 17, 2020 Broadcast",1,2020/11/17 00:00:00+00,2020/11/17 00:00:00+00,23.7,23.699171,,,,2358.73102890256,156164.498543586
6171,2020,CA,CDF,AEU,11504,Dec 11 2020 Broadcast,1,2020/12/11 00:00:00+00,2020/12/11 00:00:00+00,47.8,47.792233,,,,2469.30673739761,316285.955352209
6172,2020,CA,OTH,BEU,10949,Northern Boundary Burn,1,2020/05/26 00:00:00+00,2020/05/29 00:00:00+00,220,220.37256,,,,18678.0138545101,1367294.87930483
6173,2020,CA,OTH,BEU,11066,Hay Camp Burn,1,2020/06/06 00:00:00+00,2020/06/06 00:00:00+00,360,360.06018,,,,6733.97585866795,2229050.52748991
6174,2020,CA,OTH,BEU,11067,Man Field Burn,1,2020/06/05 00:00:00+00,2020/06/14 00:00:00+00,626,626.25519,,,,11340.3959987117,3877774.73750514
6175,2020,CA,CDF,BTU,10651,BFC Rx Burn,1,2020/01/26 00:00:00+00,2020/02/25 00:00:00+00,12.3,12.282255,,,,1274.73131362074,84444.4949455366
6176,2020,CA,OTH,BTU,10916,2020 Rabe Rx Burn,1,2020/05/27 00:00:00+00,2020/05/27 00:00:00+00,43.4,43.414219,,,,2442.45165960579,295243.370208
6177,2020,CA,CDF,BTU,10922,Oroville Airport 2020 Rx Burn,1,2020/05/26 00:00:00+00,2020/05/26 00:00:00+00,157.9,157.9109,,,,18454.7288349556,1074400.54306281
6178,2020,CA,CDF,BTU,11395,Chico ECCO DEC 2020 Rx,1,2020/12/09 00:00:00+00,2020/12/11 00:00:00+00,68.4,68.44944,,,,3172.01379333364,470695.339504649
6179,2020,CA,CDF,CZU,10575,Santa Rosalita Broadcast Burn,1,2020/02/19 00:00:00+00,2020/02/19 00:00:00+00,14.3,14.347913,,,,1320.0652421098,91374.2803592395
6180,2020,CA,CDF,CZU,10629,2020 Broadcast Burn,1,2020/02/27 00:00:00+00,2020/02/27 00:00:00+00,24,23.99501,,,,2785.67197237684,153005.861969769
6181,2020,CA,CDF,CZU,11084,2020 Broadcast Burn,1,2020/06/24 00:00:00+00,2020/06/24 00:00:00+00,9.9,9.9012165,,,,1342.29045397746,63171.22156058
6184,2020,CA,FWS,FKU,11093,2020_Broadcast Burn,1,2020/06/03 00:00:00+00,2020/06/03 00:00:00+00,25.4,25.377052,,,,2039.13462970479,160034.997037688
6185,2020,CA,CDF,FKU,11167,2020 BURN,1,2020/02/12 00:00:00+00,2020/02/14 00:00:00+00,70,73.036194,,,,5185.36060693725,466275.436870947
6186,2020,CA,PVT,HUU,10669,HUU Rx 2020,1,2020/12/11 00:00:00+00,2020/12/11 00:00:00+00,25,25.521877,,,,3498.19241123223,181637.143085392
6187,2020,CA,OTH,HUU,11097,2020 MKWC,1,2020/06/22 00:00:00+00,2020/06/22 00:00:00+00,33,306.24747,,,,16527.2863204777,2197789.21606877
6188,2020,CA,PVT,HUU,11097,2020 MKWC,1,2020/02/10 00:00:00+00,2020/11/19 00:00:00+00,122,306.24747,,,,16527.2863204777,2197789.21606877
6189,2020,CA,CSP,HUU,11308,2020 Rx Burns,1,2020/10/29 00:00:00+00,2020/11/02 00:00:00+00,220,220.09,,,,8934.67819717636,1560805.5548274
6190,2020,CA,CDF,HUU,11391,Lone Star 2020 Units 1-3,1,2020/12/04 00:00:00+00,2020/12/04 00:00:00+00,208,208.35294,,,,5820.12670659192,1466051.00787994
6191,2020,CA,CDF,HUU,11394,2020_RX,1,2020/12/10 00:00:00+00,2020/12/10 00:00:00+00,360,367.94501,,,,8288.1922528477,2578570.07742341
6194,2020,CA,PVT,LMU,10789,Wood Rx,1,2020/02/26 00:00:00+00,2020/02/27 00:00:00+00,36,36.294662,,,,4373.65817960688,252782.7512148
6195,2020,CA,PVT,LMU,11364,Dow Ranch Rx 1,1,2020/11/01 00:00:00+00,2020/12/01 00:00:00+00,128,128.88193,,,,6394.2323074012,898508.25623425
6196,2020,CA,PVT,LMU,11402,Madeline Rx 1,1,2020/12/01 00:00:00+00,2020/12/16 00:00:00+00,73,73.059128,,,,3234.95646862769,520295.446572667
6197,2020,CA,PVT,LMU,11406,A-1 Rx,1,2020/12/11 00:00:00+00,2020/12/17 00:00:00+00,26,26.143318,,,,5120.07897473755,182864.70020025
6198,2020,CA,PVT,LNU,10644,Lake Assist,1,2020/02/21 00:00:00+00,2020/04/16 00:00:00+00,200,4003.4395,,,,32386.4853092927,26782238.7274683
6199,2020,CA,PVT,LNU,10744,Thompson,1,2020/02/22 00:00:00+00,2020/02/22 00:00:00+00,20,24.441467,,,,1646.49380968294,161937.436748213
6200,2020,CA,CDF,LNU,10919,2020 Hwy 128 Burn,1,2020/05/25 00:00:00+00,2020/06/01 00:00:00+00,91,81.942581,,,,24661.687638793,542430.575667628
6201,2020,CA,CDF,LNU,10920,2020 Maxwell Flat,1,2020/06/15 00:00:00+00,2020/06/15 00:00:00+00,56,56.455936,,,,3695.03395273427,374111.387272451
6202,2020,CA,CDF,LNU,10921,2020 Front Field,1,2020/06/02 00:00:00+00,2020/06/19 00:00:00+00,335,335.00253,,,,9711.85665789074,2218949.65247757
6203,2020,CA,CSP,LNU,11114,Plot A 2020,1,2020/07/01 00:00:00+00,2020/07/01 00:00:00+00,37,37.932739,,,,1948.14567705263,251075.724082262
6204,2020,CA,CSP,LNU,11115,Plot B 2020,1,2020/07/01 00:00:00+00,2020/07/01 00:00:00+00,15,15.255756,,,,1283.10146988028,100972.872270189
6205,2020,CA,CSP,LNU,11116,Plot C 2020,1,2020/07/03 00:00:00+00,2020/07/03 00:00:00+00,32,32.968853,,,,1923.27003326445,218196.693154068
6206,2020,CA,CSP,LNU,11117,Plot D 2020,1,2020/07/03 00:00:00+00,2020/07/03 00:00:00+00,63,63.125736,,,,2853.95750389035,417750.133378466
6207,2020,CA,CDF,LNU,11120,2020 C-234 Burn,1,2020/06/16 00:00:00+00,2020/06/16 00:00:00+00,90,295.90018,,,,6278.62207200907,1986065.5450919
6208,2020,CA,OTH,LNU,11123,2020 Broadcast Burn,1,2020/06/15 00:00:00+00,2020/06/15 00:00:00+00,27,46.832966,,,,3281.75515931087,308726.671040432
6209,2020,CA,CDF,LNU,11142,Lake Sonoma Dam Face,1,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,86,86.082016,,,,3668.33589843246,573094.482461349
6210,2020,CA,CDF,MEU,10559,N-05-19 Ukiah Eastside Rx Fire,1,2020/01/07 00:00:00+00,2020/02/11 00:00:00+00,361,570.0072,,,,14682.7922512664,3846309.7650282
6211,2020,CA,CDF,MEU,10560,N-05-19 Ukiah Westside Rx Fire,1,2020/02/18 00:00:00+00,2020/03/05 00:00:00+00,260,570.11646,,,,16522.0156583033,3840253.92764342
6212,2020,CA,CDF,MEU,10567,2020 Shamrock VMP,1,2020/02/13 00:00:00+00,2020/02/22 00:00:00+00,308,358.38806,,,,15968.5616565682,2450814.33649139
