PLOT,Fire_Year,SPECIES,MORT_DATE,DBH,CVS,FIRE_MORT_0_to_3_yr,POST_FIRE_BEETLE_MORT_5yr,N.neighbors.15m,N.neighbors.5m,N.conspecific.neighbors.15m,N.conspecific.neighbors.5m,Nearest.neighbor,HEGYI,BA.conspecifics.5m,BA.conspecifics.15m,BA.3m,BA.5m,BA.8m,BA.11m,BA.15m,BA.20m
CRCRPIPO,2009,ABCO,2010,4,100,1,NA,319,70,182,55,0.39,97.21211933,0.043,0.287,0.174,0.292,0.883,2.577,4.876,7.03
CRCRPIPO,2009,ABCO,2010,4.4,100,1,NA,223,32,94,13,0.57,66.44206374,0.009,2.104,0.011,0.234,1.555,2.237,5.524,7.939
CRCRPIPO,2009,ABCO,2010,4.5,100,1,NA,143,10,48,6,0.46,60.39332512,0.009,1.072,0.057,0.2,1.199,1.698,5.22,7.91
CRCRPIPO,2009,CADE,2010,1.4,100,1,NA,300,34,21,4,0.17,293.4458357,0.206,1.066,0.318,0.485,1.526,1.943,3.767,10.506
CRCRPIPO,2009,ABCO,2010,1.5,100,1,NA,309,70,179,47,0.32,248.4937758,0.056,0.256,0.1,0.383,1.726,2.52,4.055,8.724
CRCRPIPO,2009,ABCO,2010,2.1,100,1,NA,270,29,120,14,0.61,157.625525,0.025,2.139,0.05,0.086,1.419,3.242,4.462,8.359
CRCRPIPO,2009,ABCO,2010,2.1,100,1,NA,217,34,86,12,0.46,145.5567816,0.507,2.11,0.16,0.879,1.587,3,4.138,7.876
CRCRPIPO,2009,ABCO,2010,1.2,100,1,NA,80,10,28,3,2.19,202.6931252,0.013,2.072,0.023,0.104,0.924,1.225,3.115,7.091
CRCRPIPO,2009,CADE,2010,2.2,100,1,NA,79,7,42,5,2.68,98.88696718,0.081,0.709,0.051,0.488,0.539,0.849,3.545,7.609
CRCRPIPO,2009,ABCO,2010,1.1,100,1,NA,163,24,135,22,0.73,310.9195053,0.91,4.225,0.276,0.949,2.031,3.499,5.48,8.072
CRCRPIPO,2009,ABCO,2010,1.2,100,1,NA,73,8,21,0,0.52,218.0462765,0,1.622,0.203,0.694,2.469,3.172,5.041,7.729
CRCRPIPO,2009,CADE,2010,1,100,1,NA,133,20,25,2,0.28,377.6062981,0.001,0.263,0.458,0.965,2.072,3.569,4.743,7.746
CRCRPIPO,2009,ABCO,2010,2,100,1,NA,138,30,37,5,0.62,140.4656698,0.004,1.603,0.056,0.137,0.409,0.824,4.16,10.506
CRCRPIPO,2009,ABCO,2010,2.7,100,1,NA,129,15,42,4,0.25,99.64517817,0.106,2.432,0.01,0.125,0.653,2.052,4.168,8.331
CRCRPIPO,2009,ABCO,2010,2.2,100,1,NA,194,10,89,2,0.51,125.367815,0.001,0.14,0.075,0.155,1.868,2.623,3.982,8.334
CRCRPIPO,2009,ABCO,2010,3,100,1,NA,271,57,158,33,0.54,119.3163702,0.04,0.769,0.214,1.138,1.618,2.614,4.118,7.96
CRCRPIPO,2009,ABCO,2010,1.9,100,1,NA,276,58,159,44,0.33,184.5544771,0.051,0.763,0.181,0.466,2.036,2.557,4.579,8.567
CRCRPIPO,2009,ABCO,2010,3.4,100,1,NA,284,23,140,11,0.61,93.22661297,0.024,2.179,0.025,0.078,0.6,2.218,5.401,8.956
CRCRPIPO,2009,ABCO,2010,2.1,100,1,NA,224,31,87,14,0.34,153.4803005,1.013,2.096,0.018,1.367,2.601,3.169,4.081,7.53
CRCRPIPO,2009,ABCO,2010,2,100,1,NA,224,30,88,14,0.34,156.4297841,1.013,2.098,0.63,1.361,2.601,3.169,4.198,7.518
CRCRPIPO,2009,PINUS,2010,2.2,100,1,NA,287,30,101,6,1.09,136.3749465,0.014,0.671,0.038,0.116,0.176,3.362,4.714,8.027
