California Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
201501,5,5
201502,7,7
201503,26,25
201504,18,10
201505,23,-6
201506,197,108
201507,233,23
201508,300,95
201509,237,118
201510,111,85
201511,0,-2
201512,0,0
201601,0,0
201602,10,10
201603,6,5
201604,22,14
201605,33,4
201606,201,112
201607,282,72
201608,267,62
201609,145,26
201610,47,21
201611,10,8
201612,0,0
201701,0,0
201702,0,0
201703,10,9
201704,20,12
201705,47,18
201706,180,91
201707,336,126
201708,320,115
201709,161,42
201710,76,50
201711,14,12
201712,3,3
201801,8,8
201802,0,0
201803,1,0
201804,20,12
201805,35,6
201806,138,49
201807,377,167
201808,298,93
201809,171,52
201810,45,19
201811,8,6
201812,0,0
201901,0,0
201902,0,0
201903,1,0
201904,22,14
201905,14,-15
201906,134,45
201907,244,34
201908,284,79
201909,155,36
201910,36,10
201911,6,4
201912,0,0
202001,0,0
202002,0,0
202003,0,-1
202004,13,5
202005,74,45
202006,130,41
202007,250,40
202008,355,150
202009,259,140
202010,120,94
202011,5,3
202012,0,0
202101,0,0
202102,0,0
202103,0,-1
202104,20,12
202105,53,24
202106,202,113
202107,344,134
202108,296,91
202109,192,73
202110,20,-6
202111,19,17
202112,0,0
202201,3,3
202202,0,0
202203,6,5
202204,18,10
202205,45,16
202206,190,101
202207,284,74
202208,342,137
202209,255,136
202210,68,42
202211,0,-2
202212,0,0
202301,0,0
202302,0,0
202303,0,-1
202304,10,2
202305,26,-3
202306,52,-37
202307,327,117
