California Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
201501,397,-190
201502,270,-208
201503,212,-245
201504,236,-96
201505,196,-5
201506,13,-56
201507,0,-8
201508,1,-7
201509,7,-31
201510,48,-117
201511,398,22
201512,569,9
201601,509,-78
201602,271,-207
201603,337,-120
201604,213,-119
201605,159,-42
201606,14,-55
201607,1,-7
201608,0,-8
201609,21,-17
201610,127,-38
201611,268,-108
201612,525,-35
201701,574,-13
201702,420,-58
201703,305,-152
201704,245,-87
201705,133,-68
201706,17,-52
201707,0,-8
201708,0,-8
201709,16,-22
201710,87,-78
201711,252,-124
201712,400,-160
201801,373,-214
201802,419,-59
201803,428,-29
201804,240,-92
201805,159,-42
201806,31,-38
201807,0,-8
201808,1,-7
201809,18,-20
201810,112,-53
201811,270,-106
201812,495,-65
201901,474,-113
201902,589,111
201903,434,-23
201904,215,-117
201905,240,39
201906,32,-37
201907,3,-5
201908,0,-8
201909,23,-15
201910,141,-24
201911,284,-92
201912,515,-45
202001,497,-90
202002,367,-111
202003,470,13
202004,258,-74
202005,102,-99
202006,32,-37
202007,1,-7
202008,0,-8
202009,2,-36
202010,41,-124
202011,328,-48
202012,472,-88
202101,483,-104
202102,406,-72
202103,472,15
202104,230,-102
202105,125,-76
202106,12,-57
202107,0,-8
202108,0,-8
202109,11,-27
202110,171,6
202111,226,-150
202112,553,-7
202201,450,-137
202202,388,-90
202203,325,-132
202204,249,-83
202205,145,-56
202206,17,-52
202207,0,-8
202208,0,-8
202209,3,-35
202210,77,-88
202211,444,68
202212,548,-12
202301,586,-1
202302,542,64
202303,572,115
202304,286,-46
202305,191,-10
202306,102,33
202307,0,-8
