,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
2012-01-31,4,447,3.12,-2.27,-2.27,-2.27,46.5,58.6,34.4,-2.42
2012-02-29,0,439,1.22,-3.18,-3.18,-3.18,46.5,58.0,35.0,-3.44
2012-03-31,1,447,4.74,-2.31,-2.31,-1.6,48.8,60.4,37.3,1.61
2012-04-30,13,273,2.48,-1.74,-1.74,-0.59,55.8,68.4,43.1,1.01
2012-05-31,54,130,0.2,-1.96,-1.96,-1.25,63.9,78.6,49.2,-1.19
2012-06-30,108,51,0.32,-1.86,-1.86,-1.22,69.3,84.3,54.3,-0.3
2012-07-31,211,4,0.26,-1.74,-1.74,-1.16,74.7,89.6,59.7,-0.24
2012-08-31,334,0,0.3,-1.58,-1.58,-0.99,77.8,92.8,62.7,-0.06
2012-09-30,231,7,0.1,-1.89,-1.89,-1.68,73.1,88.3,57.8,-1.39
2012-10-31,56,100,0.99,-1.97,-1.97,-1.97,62.2,75.4,48.9,-0.85
2012-11-30,7,291,3.57,0.24,-1.53,-1.12,52.5,63.6,41.4,0.73
2012-12-31,0,559,6.15,1.08,1.08,1.08,43.0,51.8,34.3,2.59
2013-01-31,0,576,1.19,-0.8,-0.8,-0.8,42.1,53.2,31.0,-2.39
2013-02-28,0,476,0.58,-1.66,-1.66,-1.66,45.3,57.6,33.1,-2.84
2013-03-31,8,317,1.33,-2.43,-2.43,-2.43,53.8,66.5,41.0,-2.84
2013-04-30,22,219,0.71,-2.83,-2.83,-2.83,58.2,71.7,44.7,-1.95
2013-05-31,63,112,0.62,-2.98,-2.98,-2.98,63.8,77.5,50.1,-1.31
2013-06-30,161,22,0.38,-3.28,-3.28,-3.28,72.4,87.2,57.6,-1.82
2013-07-31,289,0,0.28,-3.51,-3.51,-3.51,78.0,92.7,63.4,-1.72
2013-08-31,235,2,0.38,-3.23,-3.23,-3.23,74.4,89.0,59.8,-0.24
2013-09-30,160,21,0.77,-2.61,-2.61,-2.2,69.3,83.1,55.6,0.87
2013-10-31,20,166,0.26,-2.93,-2.93,-2.93,58.5,72.5,44.5,-1.77
2013-11-30,5,303,0.99,-3.4,-3.4,-3.4,51.9,63.7,40.2,-2.32
2013-12-31,0,498,0.44,-4.37,-4.37,-4.37,44.1,56.2,32.0,-3.95
2014-01-31,10,341,0.54,-5.88,-5.88,-5.88,50.1,63.0,37.2,-5.89
2014-02-28,3,352,4.02,-5.87,-5.87,-5.87,49.8,60.6,39.0,-1.79
2014-03-31,10,300,3.28,-5.59,-5.59,-5.59,53.5,65.3,41.6,-0.95
2014-04-30,22,217,1.06,-5.53,-5.53,-5.53,57.7,71.0,44.4,-1.56
2014-05-31,80,91,0.35,-6.05,-6.05,-6.05,64.6,78.8,50.5,-3.27
2014-06-30,151,25,0.06,-6.77,-6.77,-6.77,71.9,87.1,56.6,-4.01
2014-07-31,313,0,0.22,-7.01,-7.01,-7.01,78.4,92.7,64.0,-2.83
2014-08-31,253,1,0.45,-6.35,-6.35,-6.35,74.9,89.0,60.8,-0.18
2014-09-30,224,7,0.72,-5.53,-5.53,-5.29,72.2,86.2,58.3,0.5
2014-10-31,96,60,1.06,-5.3,-5.3,-5.3,64.4,78.1,50.8,-1.0
2014-11-30,11,257,1.84,-5.22,-5.22,-5.22,53.1,64.2,42.0,-1.42
2014-12-31,0,444,6.3,-3.98,-3.98,-3.13,46.8,54.6,38.9,2.13
2015-01-31,5,397,0.65,-4.84,-4.84,-4.84,48.6,59.4,37.9,-3.81
2015-02-28,7,270,2.86,-4.86,-4.86,-4.86,53.2,65.0,41.4,-1.55
2015-03-31,26,212,0.78,-5.67,-5.67,-5.67,56.9,70.2,43.7,-3.96
2015-04-30,18,236,1.06,-5.53,-5.53,-5.53,56.7,70.3,43.0,-1.31
