California Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,-4.84,-4.79
201502,-4.86,-4.78
201503,-5.67,-5.63
201504,-5.53,-5.46
201505,-5.11,-5.12
201506,-5.13,-5.22
201507,-4.85,-5.03
201508,-4.75,-4.89
201509,-4.48,-4.65
201510,-4.48,-4.52
201511,-4.30,-4.27
201512,-3.57,-3.42
201601,-2.30,-2.25
201602,-2.99,-2.91
201603,-2.08,-2.04
201604,-2.10,-2.03
201605,-1.89,-1.90
201606,-1.88,-1.97
201607,-2.30,-2.48
201608,-2.55,-2.69
201609,-2.70,-2.87
201610,1.57,1.53
201611,1.24,1.27
201612,1.38,1.53
201701,3.61,3.66
201702,4.76,4.84
201703,-0.45,-0.41
201704,0.48,0.55
201705,-0.22,-0.23
201706,-0.26,-0.35
201707,-0.75,-0.93
201708,-0.98,-1.12
201709,-0.96,-1.13
201710,-1.55,-1.59
201711,-1.41,-1.38
201712,-2.63,-2.48
201801,-3.13,-3.08
201802,-4.15,-4.07
201803,-3.05,-3.01
201804,-2.63,-2.56
201805,-2.42,-2.43
201806,-2.29,-2.38
201807,-2.41,-2.59
201808,-2.71,-2.85
201809,-2.93,-3.10
201810,-3.04,-3.08
201811,-2.79,-2.76
201812,-3.06,-2.91
201901,0.23,0.28
201902,2.10,2.18
201903,2.29,2.33
201904,1.67,1.74
201905,2.76,2.75
201906,2.97,2.88
201907,-0.09,-0.27
201908,-0.34,-0.48
201909,-0.16,-0.33
201910,-0.80,-0.84
201911,-1.28,-1.25
201912,-0.90,-0.75
202001,-1.60,-1.55
202002,-2.72,-2.64
202003,-2.45,-2.41
202004,-2.14,-2.07
202005,-1.65,-1.66
202006,-1.44,-1.53
202007,-1.57,-1.75
202008,-1.83,-1.97
202009,-2.21,-2.38
202010,-3.03,-3.07
202011,-3.38,-3.35
202012,-3.89,-3.74
202101,-4.03,-3.98
202102,-4.62,-4.54
202103,-4.79,-4.75
202104,-5.19,-5.12
202105,-5.85,-5.86
202106,-6.69,-6.78
202107,-7.04,-7.22
202108,-6.87,-7.01
202109,-6.38,-6.55
202110,-4.16,-4.20
202111,-4.44,-4.41
202112,-3.17,-3.02
202201,-4.06,-4.01
202202,-4.84,-4.76
202203,-5.43,-5.39
202204,-4.97,-4.90
202205,-5.06,-5.07
202206,-5.12,-5.21
202207,-5.27,-5.45
202208,-4.87,-5.01
202209,-4.11,-4.28
202210,-4.57,-4.61
202211,-4.31,-4.28
202212,0.89,1.04
202301,2.61,2.66
202302,2.40,2.48
202303,4.06,4.10
202304,3.03,3.10
202305,2.74,2.73
202306,2.39,2.30
202307,1.99,1.81
