California Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,-4.84,-4.91
201502,-4.86,-5.07
201503,-5.67,-5.90
201504,-5.53,-5.63
201505,-5.11,-5.26
201506,-5.13,-5.42
201507,-4.85,-5.22
201508,-4.75,-5.05
201509,-4.48,-4.73
201510,-4.48,-4.71
201511,-4.30,-4.46
201512,-3.57,-3.51
201601,-2.30,-2.37
201602,-2.99,-3.20
201603,-2.08,-2.31
201604,-2.10,-2.20
201605,-1.89,-2.04
201606,-1.88,-2.17
201607,-2.30,-2.67
201608,-2.55,-2.85
201609,-2.70,-2.95
201610,-0.85,-1.08
201611,-0.92,-1.08
201612,-0.56,-0.50
201701,3.61,3.54
201702,4.76,4.55
201703,3.81,3.58
201704,3.90,3.80
201705,3.28,3.13
201706,2.88,2.59
201707,2.06,1.69
201708,1.54,1.24
201709,1.30,1.05
201710,-1.55,-1.78
201711,-1.41,-1.57
201712,-2.63,-2.57
201801,-3.13,-3.20
201802,-4.15,-4.36
201803,-3.05,-3.28
201804,-2.63,-2.73
201805,-2.42,-2.57
201806,-2.29,-2.58
201807,-2.41,-2.78
201808,-2.71,-3.01
201809,-2.93,-3.18
201810,-3.04,-3.27
201811,-2.79,-2.95
201812,-3.06,-3.00
201901,-2.52,-2.59
201902,2.10,1.89
201903,2.29,2.06
201904,1.67,1.57
201905,2.76,2.61
201906,2.97,2.68
201907,2.57,2.20
201908,2.06,1.76
201909,1.99,1.74
201910,1.12,0.89
201911,-1.28,-1.44
201912,-0.90,-0.84
202001,-1.60,-1.67
202002,-2.72,-2.93
202003,-2.45,-2.68
202004,-2.14,-2.24
202005,-1.65,-1.80
202006,-1.44,-1.73
202007,-1.57,-1.94
202008,-1.83,-2.13
202009,-2.21,-2.46
202010,-3.03,-3.26
202011,-3.38,-3.54
202012,-3.89,-3.83
202101,-4.03,-4.10
202102,-4.62,-4.83
202103,-4.79,-5.02
202104,-5.19,-5.29
202105,-5.85,-6.00
202106,-6.69,-6.98
202107,-7.04,-7.41
202108,-6.87,-7.17
202109,-6.38,-6.63
202110,-4.16,-4.39
202111,-4.44,-4.60
202112,-3.17,-3.11
202201,-4.06,-4.13
202202,-4.84,-5.05
202203,-5.43,-5.66
202204,-4.97,-5.07
202205,-5.06,-5.21
202206,-5.12,-5.41
202207,-5.27,-5.64
202208,-4.87,-5.17
202209,-4.11,-4.36
202210,-4.57,-4.80
202211,-4.31,-4.47
202212,-2.98,-2.92
202301,-0.86,-0.93
202302,-0.70,-0.91
202303,4.06,3.83
202304,3.03,2.93
202305,2.74,2.59
202306,2.39,2.10
202307,1.99,1.62
