California Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,-4.84,-4.85
201502,-4.86,-4.96
201503,-5.67,-5.77
201504,-5.53,-5.59
201505,-5.11,-5.28
201506,-5.13,-5.41
201507,-4.85,-5.17
201508,-4.75,-5.01
201509,-4.48,-4.71
201510,-4.48,-4.58
201511,-4.30,-4.25
201512,-3.19,-3.02
201601,-0.84,-0.85
201602,-2.55,-2.65
201603,-0.95,-1.05
201604,-1.19,-1.25
201605,-0.98,-1.15
201606,-1.13,-1.41
201607,-2.05,-2.37
201608,-2.55,-2.81
201609,-2.70,-2.93
201610,1.19,1.09
201611,0.81,0.86
201612,1.37,1.54
201701,3.61,3.60
201702,4.76,4.66
201703,3.24,3.14
201704,3.82,3.76
201705,2.89,2.72
201706,2.38,2.10
201707,0.92,0.60
201708,0.08,-0.18
201709,-0.21,-0.44
201710,-1.55,-1.65
201711,-1.37,-1.32
201712,-2.63,-2.46
201801,-3.13,-3.14
201802,-4.15,-4.25
201803,-2.23,-2.33
201804,-1.65,-1.71
201805,-1.48,-1.65
201806,-1.44,-1.72
201807,-1.90,-2.22
201808,-2.71,-2.97
201809,-2.93,-3.16
201810,-3.04,-3.14
201811,-2.79,-2.74
201812,-3.06,-2.89
201901,-2.17,-2.18
201902,2.10,2.00
201903,2.29,2.19
201904,1.09,1.03
201905,2.76,2.59
201906,2.97,2.69
201907,2.40,2.08
201908,1.51,1.25
201909,1.57,1.34
201910,-0.13,-0.23
201911,-1.28,-1.23
201912,-0.36,-0.19
202001,-1.60,-1.61
202002,-2.72,-2.82
202003,-2.40,-2.50
202004,-1.95,-2.01
202005,-1.05,-1.22
202006,-0.76,-1.04
202007,-1.19,-1.51
202008,-1.83,-2.09
202009,-2.21,-2.44
202010,-3.03,-3.13
202011,-3.38,-3.33
202012,-3.89,-3.72
202101,-4.03,-4.04
202102,-4.62,-4.72
202103,-4.79,-4.89
202104,-5.19,-5.25
202105,-5.85,-6.02
202106,-6.69,-6.97
202107,-7.04,-7.36
202108,-6.87,-7.13
202109,-6.38,-6.61
202110,-2.40,-2.50
202111,-3.43,-3.38
202112,-1.29,-1.12
202201,-3.42,-3.43
202202,-4.84,-4.94
202203,-5.43,-5.53
202204,-4.97,-5.03
202205,-5.06,-5.23
202206,-5.12,-5.40
202207,-5.27,-5.59
202208,-4.87,-5.13
202209,-3.77,-4.00
202210,-4.57,-4.67
202211,-4.31,-4.26
202212,-1.90,-1.73
202301,2.26,2.25
202302,2.25,2.15
202303,4.06,3.96
202304,2.26,2.20
202305,1.96,1.79
202306,1.49,1.21
202307,0.90,0.58
