California Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,-3.81,-4.03
201502,-1.55,-1.78
201503,-3.96,-4.09
201504,-1.31,-1.27
201505,-0.44,-0.64
201506,-1.66,-1.88
201507,-0.75,-0.97
201508,-1.18,-1.18
201509,-0.66,-0.71
201510,-1.38,-1.26
201511,-0.86,-0.66
201512,0.86,1.07
201601,2.71,2.49
201602,-2.78,-3.01
201603,1.80,1.67
201604,-0.68,-0.64
201605,-0.03,-0.23
201606,-0.55,-0.77
201607,-1.85,-2.07
201608,-1.44,-1.44
201609,-1.23,-1.28
201610,4.70,4.82
201611,-0.49,-0.29
201612,0.80,1.01
201701,7.10,6.88
201702,4.56,4.33
201703,-1.36,-1.49
201704,1.45,1.49
201705,-0.66,-0.86
201706,-0.17,-0.39
201707,-1.58,-1.80
201708,-0.92,-0.92
201709,-0.24,-0.29
201710,-2.05,-1.93
201711,-0.08,0.12
201712,-4.07,-3.86
201801,-2.34,-2.56
201802,-4.01,-4.24
201803,1.99,1.86
201804,0.32,0.36
201805,-0.17,-0.37
201806,-0.34,-0.56
201807,-1.07,-1.29
201808,-1.66,-1.66
201809,-1.47,-1.52
201810,-1.24,-1.12
201811,-0.20,0.00
201812,-1.68,-1.47
201901,0.69,0.47
201902,5.68,5.45
201903,1.23,1.10
201904,-1.16,-1.12
201905,3.78,3.58
201906,1.50,1.28
201907,-0.28,-0.50
201908,-0.75,-0.75
201909,0.44,0.39
201910,-1.99,-1.87
201911,-1.68,-1.48
201912,0.76,0.97
202001,-2.38,-2.60
202002,-3.87,-4.10
202003,-0.03,-0.16
202004,0.19,0.23
202005,0.81,0.61
202006,0.11,-0.11
202007,-0.85,-1.07
202008,-1.24,-1.24
202009,-1.71,-1.76
202010,-3.15,-3.03
202011,-1.98,-1.78
202012,-2.58,-2.37
202101,-1.63,-1.85
202102,-3.01,-3.24
202103,-1.93,-2.06
202104,-2.70,-2.66
202105,-3.57,-3.77
202106,-4.32,-4.54
202107,-3.13,-3.35
202108,-1.67,-1.67
202109,-0.64,-0.69
202110,4.67,4.79
202111,-2.12,-1.92
202112,2.43,2.64
202201,-3.65,-3.87
202202,-3.58,-3.81
202203,-3.29,-3.42
202204,-0.30,-0.26
202205,-1.81,-2.01
202206,-1.74,-1.96
202207,-2.02,-2.24
202208,-0.42,-0.42
202209,0.76,0.71
202210,-2.66,-2.54
202211,-0.61,-0.41
202212,2.66,2.87
202301,5.44,5.22
202302,0.19,-0.04
202303,5.72,5.59
202304,-1.84,-1.80
202305,0.07,-0.13
202306,-0.22,-0.44
202307,-0.46,-0.68
