,incident_acres_burned,RX_acres,RX_acres_3_month,RX_acres_6_month,RX_acres_9_month,RX_acres_12_month,soil moisture,temp_avg_Value,temp_avg_Anomaly,temp_min_Value,temp_min_Anomaly,temp_max_Value,temp_max_Anomaly,precip_new_Value,precip_new_Anomaly,pdsi_Value,pdsi_Anomaly,phdi_Value,phdi_Anomaly,pmdi_Value,pmdi_Anomaly,pzi_Value,pzi_Anomaly,cooling_daysValue,cooling_daysAnomaly,heating_daysValue,heating_daysAnomaly
1/31/2016,0,0,7519.737157,10944.92653,14642.75689,16100.87217,283.23288,44.5,2.2,36.1,3.4,52.9,1,6.39,2.14,-2.3,-2.25,-2.3,-2.37,-0.84,-0.85,2.71,2.49,0,0,509,-78
2/29/2016,0,231.1,2914.737157,9055.437157,13716.80653,16100.87217,304.81302,51.8,6.5,39.3,4.2,64.2,8.6,1.21,-2.64,-2.99,-2.91,-2.99,-3.2,-2.55,-2.65,-2.78,-3.01,10,10,271,-207
3/31/2016,0,748.43,2162.24335,9286.537157,12749.50653,15844.57302,317.30475,52.5,3.7,41.3,3.7,63.7,3.7,4.88,1.67,-2.08,-2.04,-2.08,-2.31,-0.95,-1.05,1.8,1.67,6,5,337,-120
4/30/2016,30,38.67,276.1,7750.837157,11176.02653,14873.85689,321.3151,57.9,3.9,45.5,3.9,70.4,3.9,1.52,-0.11,-2.1,-2.03,-2.1,-2.2,-1.19,-1.25,-0.68,-0.64,22,14,213,-119
5/31/2016,5062,404.94,1018.2,3932.937157,10073.63716,14735.00653,291.95172,62.2,1.5,49.6,2.2,74.8,0.7,0.77,-0.11,-1.89,-1.9,-1.89,-2.04,-0.98,-1.15,-0.03,-0.23,33,4,159,-42
6/30/2016,81250,1134.05,1018.2,2949.34335,10073.63716,13536.60653,246.49231,73.5,5.2,58.6,4.9,88.3,5.5,0.27,-0.08,-1.88,-1.97,-1.88,-2.17,-1.13,-1.41,-0.55,-0.77,201,112,14,-55
7/31/2016,145159,137.9,2326.09,2602.19,10076.92716,13502.11653,199.21942,76.8,2.1,61.6,2.1,91.9,2,0.06,-0.12,-2.3,-2.48,-2.3,-2.67,-2.05,-2.37,-1.85,-2.07,282,72,1,-7
8/31/2016,175437,0,1715.56,2695.09,5609.827157,11750.52716,162.03308,76.2,2.5,61.2,2.6,91.2,2.3,0.06,-0.18,-2.55,-2.69,-2.55,-2.85,-2.55,-2.81,-1.44,-1.44,267,62,0,-8
9/30/2016,33613,0,1676.89,2695.09,4626.23335,11750.52716,137.98563,69.5,1,54.8,1,84.2,1.1,0.1,-0.35,-2.7,-2.87,-2.7,-2.95,-2.7,-2.93,-1.23,-1.28,145,26,21,-17
10/31/2016,6698,2419.152965,1271.95,2463.99,2740.09,10214.82716,171.64917,60.5,1,49,2.8,72,-0.9,3.82,2.62,1.57,1.53,-0.85,-1.08,1.19,1.09,4.7,4.82,47,21,127,-38
11/30/2016,4852,784.14,137.9,1715.56,2695.09,5609.827157,218.21521,52.8,3.3,41.8,3.6,63.7,2.8,2.16,-0.37,1.24,1.27,-0.92,-1.08,0.81,0.86,-0.49,-0.29,10,8,268,-108
12/31/2016,0,84.9,3203.292965,4880.182965,5898.382965,7829.526314,260.0983,43.4,0.3,33.9,0.7,53,0.1,4.49,0.88,1.38,1.53,-0.56,-0.5,1.37,1.54,0.8,1.01,0,0,525,-35
1/31/2017,0,272.8899994,3288.192965,4560.142965,5752.182965,6028.282965,343.6626,42.2,-0.1,34,1.3,50.3,-1.6,9.92,5.67,3.61,3.66,3.61,3.54,3.61,3.6,7.1,6.88,0,0,574,-13
2/28/2017,0,598.5669469,3288.192965,3426.092965,5003.752965,5983.282965,405.7367,47.3,2,39,3.9,55.6,0,7.94,4.09,4.76,4.84,4.76,4.55,4.76,4.66,4.56,4.33,0,0,420,-58
